N,P,K,temperature,humidity,ph,rainfall,label
40.39,13.3,20.72,33.38,91.21,8.14,94.57,orange
25.01,41.68,24.34,25.65,53.51,4.38,56.37,mothbeans
96.61,55.11,38.73,23.19,86.98,5.7,333.97,rice
17.95,39.83,26.6,33.52,64.91,6.97,71.21,mothbeans
108.96,82.56,51.46,29.12,74.02,5.4,113.88,banana
34.34,25.57,27.21,32.91,56.89,4.67,827.52,mango
43.08,23.08,34.83,29.01,85.95,6.68,2201.27,coconut
21.58,10.59,29.05,30.78,97.42,6.29,1337.81,coconut
22.84,80.96,22.75,22.25,30.3,5.56,151.19,kidneybeans
41.22,49.93,20.74,24.96,47.72,7.81,55.55,mothbeans
41.99,17.48,12.88,11.84,89.2,8.04,130.73,orange
33.06,78.34,21.82,27.45,72.55,7.97,34.61,lentil
97.72,46.19,40.61,25.98,94.9,6.16,195.11,rice
121.41,10.14,56.29,27.91,85.83,6.93,48.03,watermelon
41.58,30.28,12.92,20.53,91.38,7.17,122.17,orange
90.63,39.3,48.51,27.55,86.44,5.57,1526.64,rice
110.18,53.44,26.92,22.23,56.28,6.37,464.88,wheat
123.01,58.46,86.14,26.27,72.52,7.72,115.22,sugarcane
190.75,55.37,90.18,34.66,69.13,7.0,126.42,sugarcane
28.42,57.61,26.03,31.32,62.37,6.4,52.71,lentil
112.15,37.38,29.53,18.99,70.96,6.59,613.08,maize
93.6,48.25,40.59,32.68,93.35,6.98,2800.0,jute
17.97,13.13,16.93,25.02,97.7,7.31,1017.9,orange
19.99,49.47,90.11,14.59,30.05,6.58,350.0,chickpea
111.5,17.95,33.64,24.39,67.79,6.72,109.65,coffee
70.27,47.82,47.99,17.03,66.32,6.12,32.45,wheat
34.5,90.19,35.8,37.1,47.39,6.1,72.55,pigeonpeas
31.5,23.28,26.17,35.75,50.49,5.0,949.8,mango
117.72,29.17,49.12,23.6,78.72,6.15,64.24,watermelon
108.31,35.33,46.65,37.28,48.18,8.37,1301.53,cotton
102.38,35.07,30.53,20.33,61.42,7.62,89.64,maize
63.8,68.77,14.76,27.52,60.13,7.22,589.6,blackgram
51.14,85.36,47.39,33.15,61.16,8.12,795.92,soybean
115.72,39.05,25.63,36.05,47.69,7.92,1241.69,cotton
60.93,51.52,21.16,21.84,69.15,6.54,69.68,maize
22.47,47.12,16.29,27.48,45.38,6.98,68.42,mothbeans
84.99,31.7,58.21,28.31,93.57,6.54,350.0,muskmelon
64.89,36.26,36.79,27.0,85.94,7.21,241.73,jute
139.4,83.65,101.61,33.03,76.76,7.59,1955.56,sugarcane
93.45,28.4,36.64,22.29,69.5,6.27,1816.69,coffee
97.22,72.44,44.22,26.59,86.51,5.53,1054.42,banana
136.69,78.5,69.85,27.11,61.74,6.91,179.42,sugarcane
115.8,63.16,85.9,36.03,71.67,7.97,134.88,sugarcane
37.02,81.86,15.08,16.83,30.95,5.77,576.73,kidneybeans
106.91,71.12,54.76,24.25,84.83,5.6,92.21,banana
75.71,25.3,34.13,28.87,63.07,5.85,1443.55,coffee
69.96,54.3,50.2,32.7,99.08,7.06,1424.9,papaya
31.76,46.16,25.54,33.55,43.03,8.37,564.3,mothbeans
86.72,56.0,15.14,25.69,62.66,5.54,76.31,maize
35.32,19.83,23.5,25.98,52.71,6.48,102.43,mango
95.86,65.94,27.79,30.54,78.23,6.2,904.22,cotton
67.4,63.47,17.27,20.63,76.77,6.02,77.71,maize
39.07,62.56,70.63,19.86,33.73,7.29,578.99,chickpea
37.59,57.54,23.16,35.69,62.16,7.91,66.9,blackgram
72.22,34.58,32.33,31.3,79.16,7.32,2305.69,jute
128.42,32.62,44.08,37.47,63.21,6.87,830.79,cotton
38.81,42.0,18.84,28.26,67.52,9.19,32.82,mothbeans
32.33,119.7,205.01,22.96,85.65,5.5,1061.53,apple
24.36,24.27,39.06,23.06,89.3,6.43,102.42,pomegranate
18.28,36.26,30.34,28.76,48.18,5.56,833.29,mango
109.86,47.88,43.81,15.03,61.03,5.96,516.54,wheat
50.98,57.05,18.99,29.76,58.13,7.15,1088.97,soybean
14.16,13.25,36.31,29.39,88.85,5.58,1339.71,coconut
74.46,37.9,16.77,22.63,45.74,6.56,108.28,cotton
126.47,87.54,46.14,28.07,71.25,6.45,732.78,banana
74.24,51.4,28.96,26.99,66.88,7.22,116.88,maize
25.9,134.37,195.39,15.21,82.84,6.14,67.22,grapes
45.29,45.49,16.58,27.35,66.71,5.98,1130.25,pigeonpeas
22.63,16.19,30.97,28.24,92.14,5.71,224.97,coconut
69.36,29.68,30.92,33.1,44.73,7.32,147.16,sorghum
19.93,119.61,211.03,20.03,90.85,6.01,1085.73,apple
74.32,33.42,29.54,19.04,52.46,6.34,47.23,wheat
55.77,55.89,82.67,22.33,18.64,6.56,656.39,chickpea
94.52,66.55,14.65,37.64,58.55,7.33,1131.56,cotton
55.59,44.27,30.32,34.89,42.4,8.55,161.06,sorghum
35.52,75.66,18.01,29.76,52.41,6.37,1260.61,pigeonpeas
52.45,50.15,42.44,38.81,42.28,5.87,934.14,sorghum
36.7,116.04,202.79,23.81,76.26,5.59,495.11,grapes
62.97,53.1,42.64,36.7,88.13,6.76,233.24,jute
189.72,49.83,63.87,26.1,87.45,8.11,1741.22,sugarcane
77.21,10.71,55.68,25.05,94.4,6.77,37.93,watermelon
39.49,12.3,33.23,27.21,87.01,5.73,2167.54,coconut
70.1,47.88,46.86,34.36,67.35,8.37,1358.49,cotton
34.24,61.94,47.53,30.57,86.09,6.88,157.61,papaya
58.19,43.21,20.63,27.65,53.9,7.35,1294.49,soybean
57.66,51.96,22.45,20.47,77.88,7.21,75.99,maize
118.48,91.3,56.74,26.06,84.61,6.54,1165.75,banana
69.94,30.94,23.6,39.34,56.68,7.81,101.48,sorghum
96.81,15.82,50.63,25.14,77.87,6.51,36.66,watermelon
31.72,62.85,20.91,26.5,66.33,6.0,49.94,lentil
40.18,60.75,67.28,22.16,14.84,8.28,754.13,chickpea
34.39,55.23,24.77,30.13,92.58,6.91,32.11,mungbean
24.73,53.52,20.21,28.42,60.51,6.95,1037.16,pigeonpeas
105.59,50.96,39.36,19.72,96.05,5.62,2800.0,rice
114.5,34.35,45.07,21.62,62.98,7.68,39.72,wheat
19.17,13.35,32.39,23.74,85.57,5.44,101.9,pomegranate
96.2,41.98,26.68,24.0,62.56,7.65,150.28,cotton
30.75,27.22,27.78,24.55,97.03,6.19,168.72,coconut
105.16,91.68,42.44,26.34,79.46,6.05,110.39,banana
50.41,75.54,24.94,24.79,57.1,6.88,474.74,blackgram
25.36,11.45,32.45,22.95,99.63,5.75,104.1,pomegranate
89.67,40.18,29.5,15.87,57.98,6.06,59.41,wheat
91.02,67.87,52.27,28.34,89.22,5.84,1148.32,banana
61.41,39.63,48.27,19.44,73.62,7.36,96.09,soybean
46.48,86.0,16.84,28.2,64.14,6.93,78.0,blackgram
32.34,69.12,13.84,27.63,65.58,6.29,48.4,lentil
37.37,132.15,180.37,18.84,80.33,5.73,60.06,grapes
99.1,42.15,29.77,29.32,77.99,5.57,617.49,maize
63.9,36.36,47.76,27.2,86.06,6.51,320.01,rice
32.44,20.89,16.04,17.63,89.92,7.84,1184.07,orange
94.86,38.06,47.59,24.82,81.01,6.56,2570.05,rice
15.05,12.83,21.56,27.16,96.49,6.92,113.12,orange
104.5,44.42,14.8,21.13,53.68,7.59,889.06,maize
18.99,62.96,17.71,16.66,22.72,5.43,1115.44,kidneybeans
21.89,15.48,37.73,18.84,93.95,7.35,782.7,pomegranate
125.36,29.39,42.04,27.36,93.81,6.72,512.19,watermelon
22.57,23.65,30.19,25.99,99.79,6.54,1628.58,coconut
60.41,73.29,26.82,32.67,72.38,6.42,482.76,blackgram
36.44,83.34,17.2,21.82,22.62,5.85,687.19,kidneybeans
80.32,45.79,38.94,32.6,59.04,7.55,195.46,cotton
111.62,19.32,32.43,22.45,67.48,7.48,141.46,coffee
124.26,25.69,57.81,29.35,87.9,6.45,28.12,muskmelon
38.88,150.01,209.38,34.19,78.63,5.79,65.57,grapes
39.97,18.97,35.89,25.35,84.77,5.7,1159.42,pomegranate
40.54,57.61,24.3,19.53,29.18,5.38,1096.34,kidneybeans
74.75,23.0,30.01,23.16,55.07,6.96,190.41,coffee
39.94,52.83,23.22,30.56,90.08,6.21,40.68,mungbean
46.53,86.85,21.12,37.0,67.93,5.84,183.03,pigeonpeas
49.79,76.28,23.34,39.16,55.07,8.33,111.17,pigeonpeas
111.51,35.03,15.05,38.58,46.22,8.52,175.22,cotton
40.45,48.06,26.05,30.13,88.79,6.64,47.24,mungbean
49.68,77.54,16.68,24.76,60.09,7.6,742.26,blackgram
14.0,19.69,12.72,31.98,85.6,7.96,966.23,orange
56.5,53.09,21.58,32.73,64.83,6.93,494.95,soybean
27.82,52.23,20.25,26.67,66.69,7.01,43.34,lentil
14.32,52.6,23.26,28.41,63.79,6.16,377.71,mothbeans
90.61,93.41,43.08,26.75,80.8,6.68,959.2,banana
32.0,15.25,34.19,24.78,88.79,6.27,244.09,coconut
49.59,45.1,24.96,25.6,48.77,7.24,587.24,sorghum
27.91,23.45,36.73,26.31,99.36,6.55,232.02,coconut
113.96,32.35,51.24,31.07,97.77,6.98,28.3,muskmelon
28.74,36.18,23.64,28.47,51.77,6.4,775.82,mango
44.67,60.28,48.82,40.8,97.89,7.15,1839.12,papaya
111.66,17.59,58.81,30.33,90.03,6.35,31.34,muskmelon
35.35,31.41,41.94,22.39,96.79,6.11,966.98,pomegranate
25.47,37.34,18.55,30.58,84.46,7.32,64.99,mungbean
80.57,31.41,45.44,26.0,90.08,6.91,413.47,watermelon
26.04,155.67,208.69,36.22,78.85,5.34,69.48,grapes
20.04,81.02,81.19,25.03,32.92,7.52,696.08,chickpea
93.87,42.01,37.36,23.05,97.74,6.85,246.34,rice
37.75,124.85,205.67,20.09,95.45,6.68,821.82,apple
89.06,12.05,44.77,30.58,95.97,6.08,18.49,muskmelon
41.63,28.76,17.02,14.22,92.4,6.07,128.33,orange
24.17,32.12,46.21,22.48,99.37,5.47,120.09,pomegranate
24.13,55.48,24.19,30.08,51.07,8.43,710.12,mothbeans
100.99,36.87,44.58,26.89,82.23,5.36,220.59,rice
39.0,76.93,21.4,31.84,67.76,7.26,726.8,blackgram
42.4,47.1,20.56,33.21,83.73,7.03,614.66,mungbean
22.55,30.41,15.29,13.15,93.72,6.33,130.02,orange
41.66,24.84,20.77,19.49,90.73,6.67,125.34,orange
33.29,81.8,25.97,23.88,22.24,6.05,100.76,kidneybeans
25.71,17.7,25.95,29.29,98.85,6.49,1668.99,coconut
24.79,59.97,23.61,29.96,77.47,6.55,64.69,mungbean
41.43,81.06,75.74,22.7,17.98,6.81,61.11,chickpea
110.41,38.55,25.4,21.85,72.03,5.61,65.14,maize
116.58,65.62,44.84,29.91,54.52,8.04,80.87,cotton
45.75,61.91,19.35,34.66,60.4,7.06,82.07,blackgram
61.99,45.87,46.66,30.26,38.89,7.2,126.76,sorghum
60.78,79.91,55.55,32.95,81.22,7.63,700.24,soybean
95.69,48.33,39.73,35.36,78.8,6.71,229.91,jute
42.37,38.37,23.41,26.9,58.83,5.04,599.21,mothbeans
29.85,33.09,19.35,32.51,77.86,6.53,587.47,mungbean
31.36,153.01,183.3,22.38,93.44,6.26,126.75,apple
35.36,51.91,26.76,27.85,83.6,7.37,50.6,mungbean
57.8,41.57,25.4,21.72,56.82,7.0,60.15,maize
62.55,64.75,37.24,30.5,73.39,8.02,153.17,soybean
116.42,20.69,48.94,27.57,92.02,6.3,48.01,watermelon
53.44,75.64,56.83,34.71,63.67,6.79,104.09,soybean
87.63,32.09,26.86,26.84,51.21,6.02,1605.06,coffee
22.44,57.61,23.83,23.98,21.77,6.17,95.85,kidneybeans
85.65,17.92,53.82,29.5,87.45,6.43,27.39,muskmelon
25.45,10.26,29.12,29.46,92.91,5.42,147.05,coconut
66.49,32.66,34.29,36.08,98.64,7.26,1625.88,jute
116.52,30.17,42.8,28.69,86.46,6.12,25.86,muskmelon
146.76,40.42,24.83,31.27,74.52,6.78,88.91,cotton
37.25,73.64,19.02,21.83,21.1,6.16,108.81,kidneybeans
110.21,55.25,26.83,20.74,58.28,7.2,749.03,wheat
16.91,22.44,31.78,26.16,91.0,5.53,196.26,coconut
59.35,78.26,25.85,27.68,63.67,7.13,660.22,blackgram
95.6,45.08,40.67,30.29,64.27,7.4,884.88,sorghum
15.13,45.75,19.33,31.13,92.95,7.32,438.71,mungbean
160.26,75.13,65.98,37.99,62.76,5.91,269.8,sugarcane
41.33,65.98,17.36,21.85,30.84,5.7,1067.99,kidneybeans
82.03,44.31,24.71,26.73,68.56,6.04,68.55,maize
22.3,35.94,24.9,31.92,47.65,6.9,362.12,mothbeans
58.94,63.06,37.93,25.33,55.02,6.71,757.07,soybean
69.18,64.4,51.76,15.93,56.71,6.48,499.23,wheat
29.18,47.06,18.94,26.31,64.99,8.47,33.22,mothbeans
15.15,80.8,16.94,20.31,25.14,6.1,478.84,kidneybeans
35.12,84.27,16.56,17.2,58.55,6.38,440.69,lentil
92.73,74.01,55.77,30.76,76.78,6.42,102.54,banana
41.9,56.14,26.55,16.41,30.51,5.62,576.9,kidneybeans
38.35,40.26,39.73,19.28,51.51,6.1,538.19,soybean
86.93,15.28,51.76,25.71,98.07,6.1,24.16,muskmelon
146.66,85.83,59.35,30.7,61.86,7.54,138.68,sugarcane
38.45,47.58,21.4,30.45,61.69,8.39,507.79,mothbeans
25.34,23.62,24.36,30.91,45.05,6.26,85.66,mango
35.32,33.24,22.06,35.56,74.19,7.53,463.15,soybean
33.74,19.42,32.07,24.28,90.21,6.11,1942.85,coconut
35.15,12.9,45.4,18.1,99.53,5.47,118.88,pomegranate
38.52,154.63,207.31,24.51,86.35,6.09,129.72,apple
124.42,29.96,48.69,24.05,77.74,7.12,408.91,watermelon
121.49,13.65,54.33,29.74,86.31,6.79,350.0,muskmelon
34.39,70.1,18.05,18.66,70.22,6.7,58.76,lentil
50.02,58.52,89.64,22.89,15.31,7.7,350.0,chickpea
34.1,63.11,23.43,14.83,25.81,5.37,1132.19,kidneybeans
22.86,30.51,48.04,24.98,93.07,5.62,863.56,pomegranate
22.86,26.19,39.89,17.67,82.72,7.13,1027.34,pomegranate
20.62,31.68,47.15,17.95,91.1,5.8,126.46,pomegranate
128.38,20.38,24.74,24.54,62.41,6.16,1708.48,coffee
119.37,72.3,49.39,24.37,81.01,5.9,780.21,banana
80.88,41.23,27.44,20.33,56.9,6.21,85.56,maize
28.49,83.4,22.56,17.2,70.63,7.39,557.22,lentil
73.15,54.57,46.47,31.11,92.16,6.62,274.66,jute
36.77,21.54,41.92,22.68,94.31,6.09,1106.95,pomegranate
94.36,20.14,27.19,27.82,60.63,6.69,1491.29,coffee
82.21,39.23,39.09,34.74,92.35,7.03,189.0,jute
58.17,58.92,87.75,23.0,25.98,6.83,41.85,chickpea
17.57,143.29,188.12,34.24,76.15,5.77,60.89,grapes
36.49,26.29,36.44,35.27,57.58,5.31,81.59,mango
39.22,69.75,16.38,15.65,29.93,5.49,125.65,kidneybeans
81.98,55.61,21.84,25.81,52.49,5.83,668.76,maize
35.62,111.39,213.79,23.51,86.42,6.45,115.52,apple
82.81,36.02,42.12,34.83,78.54,7.54,2800.0,jute
92.36,56.56,35.72,35.35,81.91,6.23,211.3,jute
22.61,27.8,15.19,21.87,94.41,7.95,96.13,orange
99.97,25.46,26.65,26.44,56.92,7.55,1527.21,coffee
79.04,77.87,51.52,30.32,82.36,6.25,86.28,banana
38.66,26.2,32.07,27.07,44.09,4.79,784.45,mango
49.11,86.22,32.27,21.46,60.55,5.96,119.11,soybean
54.88,77.02,26.75,34.92,59.31,6.44,79.48,blackgram
79.45,61.18,18.18,18.11,54.13,7.14,1019.99,maize
70.67,52.51,46.68,42.88,89.35,6.84,2051.65,papaya
104.58,40.97,36.92,28.05,87.01,5.91,2183.53,rice
134.32,48.62,77.68,35.67,58.79,8.09,124.51,sugarcane
35.05,27.23,36.58,24.28,91.09,6.47,2203.51,coconut
91.39,42.04,39.07,32.9,72.47,6.13,87.44,cotton
35.38,58.55,26.39,24.04,49.74,8.39,42.58,mothbeans
194.29,78.03,71.56,28.63,71.5,6.84,168.39,sugarcane
24.59,23.86,37.09,30.27,98.06,6.02,243.63,coconut
20.11,13.0,42.84,24.44,85.51,7.29,725.05,pomegranate
34.87,50.83,23.09,14.91,19.07,5.54,778.79,kidneybeans
23.07,26.21,32.77,26.04,87.46,6.03,205.53,coconut
15.63,26.22,13.59,31.48,90.87,5.89,962.96,orange
84.83,27.14,45.86,26.79,79.1,6.23,392.88,watermelon
29.06,141.89,209.77,23.62,91.97,6.12,1065.38,apple
27.42,59.56,22.06,26.48,91.92,6.94,64.38,mungbean
31.08,37.0,23.72,25.15,42.4,7.49,75.55,mothbeans
52.94,60.41,89.69,14.98,24.3,8.29,399.01,chickpea
68.58,41.41,29.22,23.81,60.68,6.17,1032.13,maize
34.04,39.87,26.1,30.43,89.14,6.86,625.86,mungbean
112.67,60.33,31.14,21.78,43.59,6.69,648.93,wheat
20.17,17.13,43.52,24.67,86.49,5.4,102.03,pomegranate
75.26,21.53,51.75,25.99,88.48,5.92,58.06,watermelon
79.97,40.16,48.17,27.54,83.67,5.56,1372.29,rice
120.52,64.46,50.24,28.11,82.47,5.34,99.63,banana
107.61,12.57,54.26,29.2,90.96,7.0,24.96,muskmelon
73.23,32.65,23.13,17.34,57.23,6.86,109.16,maize
18.29,78.46,24.92,23.66,30.67,5.43,68.18,kidneybeans
47.56,84.68,14.05,21.64,49.26,6.79,148.32,pigeonpeas
53.61,49.27,40.8,23.98,46.53,7.42,1051.74,pigeonpeas
107.21,61.99,24.73,27.17,60.06,5.51,1080.56,maize
45.48,44.02,44.74,28.96,92.8,7.06,136.5,papaya
40.47,140.02,205.99,17.06,81.46,6.15,69.02,grapes
99.27,66.45,19.57,27.11,68.88,5.55,895.62,maize
73.84,35.09,34.65,21.9,87.27,5.57,187.35,rice
27.51,113.76,196.01,24.45,79.66,6.23,788.57,grapes
97.17,76.25,44.94,28.99,79.08,5.92,934.54,banana
56.67,57.53,37.89,25.55,95.34,6.24,313.31,jute
75.01,42.07,39.71,30.88,94.73,6.15,2278.85,jute
147.06,82.25,100.77,36.17,63.98,7.48,2421.0,sugarcane
39.63,77.45,19.83,22.09,68.68,7.39,385.32,lentil
29.29,58.29,28.74,28.82,77.2,8.08,50.55,soybean
17.26,58.03,20.92,31.71,55.38,6.08,655.57,mothbeans
63.3,34.14,38.63,26.01,94.93,6.1,2176.75,jute
77.79,20.97,58.02,28.25,90.93,6.35,372.38,watermelon
40.14,64.15,23.3,26.34,59.48,6.4,103.98,pigeonpeas
29.32,115.97,219.4,43.69,83.84,5.79,77.91,grapes
34.77,64.67,18.52,31.58,80.98,6.46,465.36,mungbean
23.35,55.7,26.54,29.69,49.11,8.07,69.96,mothbeans
59.24,39.91,58.58,19.98,62.24,7.33,63.83,soybean
64.78,66.92,53.28,26.15,99.6,6.63,1194.23,papaya
64.53,59.81,23.65,26.35,62.38,7.28,151.74,soybean
79.15,18.36,58.71,31.4,96.27,5.98,32.37,muskmelon
29.3,148.68,186.24,22.12,80.14,6.34,706.62,grapes
94.43,49.24,29.29,22.7,61.93,7.05,79.03,maize
126.77,13.18,58.07,30.08,89.59,6.61,350.0,muskmelon
41.89,55.48,26.93,29.24,79.54,6.67,65.95,mungbean
89.72,59.03,46.45,22.77,50.76,7.61,66.53,wheat
38.4,68.83,20.66,37.48,73.33,5.35,952.09,pigeonpeas
38.75,45.09,23.53,29.6,61.17,5.53,540.44,mothbeans
24.54,38.84,21.58,28.45,44.69,9.29,33.89,mothbeans
63.02,37.71,47.07,22.03,80.06,5.9,281.16,rice
64.11,62.85,35.63,34.88,68.53,7.05,168.77,sorghum
26.25,81.53,77.2,19.61,27.46,7.94,584.18,chickpea
13.82,150.01,180.59,24.1,94.3,6.11,1145.06,apple
54.65,68.66,19.56,35.89,63.79,6.9,773.63,blackgram
79.98,77.89,48.25,25.91,87.14,5.63,100.44,banana
89.08,16.97,59.21,26.71,96.06,6.77,29.92,muskmelon
99.14,59.77,16.51,28.72,69.05,5.47,75.76,maize
36.51,81.57,26.27,21.15,66.65,6.83,53.62,lentil
118.15,27.58,32.73,26.68,63.77,6.84,130.82,coffee
67.68,72.95,47.66,36.56,85.59,7.17,216.2,papaya
15.53,51.03,15.72,20.49,58.36,7.77,48.19,lentil
23.08,68.71,26.67,17.1,60.47,7.89,48.09,lentil
18.27,50.65,24.98,14.25,26.34,5.66,914.63,kidneybeans
93.57,55.95,31.2,17.13,71.17,6.6,1029.06,maize
100.32,45.29,29.24,29.1,67.89,7.42,613.23,maize
21.46,31.65,44.12,21.25,82.57,6.11,101.24,pomegranate
37.98,84.45,54.84,28.94,78.56,5.63,826.51,soybean
99.77,36.17,31.4,20.24,61.23,6.69,75.78,maize
119.33,79.33,88.8,35.19,66.76,7.17,1471.69,sugarcane
18.6,82.19,13.81,21.98,67.85,7.23,514.72,lentil
70.48,41.99,44.5,15.52,58.92,6.7,38.78,wheat
35.54,30.16,30.37,29.09,55.25,5.91,112.4,mango
24.24,33.65,26.37,29.25,44.28,7.09,107.14,mango
102.38,19.27,25.2,27.49,47.61,6.93,187.53,coffee
62.95,44.0,46.33,34.87,89.46,7.03,2766.98,jute
88.66,65.94,32.76,13.91,57.8,6.66,84.97,wheat
28.59,25.87,15.07,30.64,88.84,7.87,1180.67,orange
36.2,127.98,217.18,20.09,76.98,6.22,68.24,grapes
119.77,68.19,74.49,36.06,84.25,8.13,1546.03,sugarcane
91.69,55.37,36.77,32.65,48.78,7.54,89.78,cotton
98.95,32.07,54.65,29.06,97.82,6.22,350.0,muskmelon
84.09,53.09,31.49,18.34,38.56,6.21,35.47,wheat
106.02,28.27,46.01,23.96,82.98,6.41,645.23,watermelon
28.2,60.84,20.71,24.15,59.68,7.42,50.37,lentil
25.72,45.37,24.45,32.65,93.43,7.34,35.72,mungbean
98.01,23.87,36.73,27.08,55.51,6.26,112.58,coffee
35.01,120.47,215.0,34.95,77.08,6.18,651.74,grapes
38.82,16.66,10.84,31.98,90.19,7.97,118.7,orange
107.77,19.77,47.9,24.63,90.93,6.16,39.52,watermelon
59.89,67.44,34.06,20.08,54.71,7.79,109.26,soybean
140.1,65.63,46.0,31.37,54.22,7.07,1362.33,cotton
23.29,45.27,18.39,32.29,91.95,7.23,521.68,mungbean
18.52,61.67,17.65,26.7,89.12,7.2,409.25,mungbean
26.67,56.95,18.26,33.53,78.59,6.87,65.5,mungbean
15.6,22.7,41.99,18.88,89.11,6.18,1063.34,pomegranate
95.88,65.83,31.18,19.53,68.97,6.74,551.97,wheat
21.16,61.56,22.95,33.7,55.57,7.86,1146.0,soybean
