N,P,K,temperature,humidity,ph,rainfall,label
44.23,78.62,33.18,30.58,76.83,7.58,851.15,soybean
57.13,33.94,66.16,28.52,52.96,6.48,566.68,pomegranate
112.04,48.54,31.24,16.42,64.48,6.62,759.23,wheat
52.94,85.04,165.12,26.97,41.98,8.05,671.85,grapes
252.94,57.52,132.49,22.4,80.92,8.31,1549.32,sugarcane
30.12,78.98,36.31,36.25,55.74,6.73,838.94,pigeonpeas
51.5,22.51,41.42,19.79,70.99,5.24,1665.65,ragi
43.4,77.87,46.04,25.08,74.71,6.07,779.26,soybean
24.82,42.86,73.33,24.63,34.99,7.73,596.51,pomegranate
121.25,68.35,21.66,38.16,46.11,7.24,994.69,cotton
87.8,53.69,87.51,20.08,57.15,7.46,639.31,tomato
45.09,82.11,27.91,28.04,44.88,8.33,653.56,pigeonpeas
121.14,61.04,43.63,14.03,49.18,7.67,641.4,wheat
204.6,72.9,108.52,31.81,88.28,8.1,2312.05,sugarcane
124.82,40.36,36.57,16.52,63.98,6.87,613.12,wheat
61.87,36.24,61.88,24.23,61.62,7.77,1054.07,orange
65.92,44.7,42.23,27.46,54.27,7.02,536.08,bajra
137.18,47.86,50.64,21.58,46.9,6.87,687.41,maize
38.94,28.72,37.38,25.07,82.49,5.97,2692.39,cashew
36.94,37.14,36.79,24.16,77.95,6.69,3161.24,ragi
33.82,36.83,64.93,25.66,31.35,6.78,471.09,pomegranate
62.08,66.59,49.56,17.76,52.35,5.94,914.96,onion
97.47,39.25,43.21,23.92,63.7,7.0,618.67,wheat
53.3,29.58,104.17,27.91,84.57,7.19,2361.92,coconut
23.99,61.52,61.82,16.04,28.39,6.8,485.88,chickpea
110.73,63.31,45.93,26.14,37.66,7.38,507.15,wheat
40.39,49.97,35.56,28.11,69.15,6.5,658.68,soybean
48.37,22.8,35.57,36.68,78.7,5.05,3221.51,cashew
43.15,71.1,38.67,25.31,44.56,6.5,833.08,groundnut
21.23,51.47,44.33,34.56,46.58,5.92,582.37,groundnut
94.03,50.35,41.24,16.41,59.17,8.04,494.22,wheat
33.84,99.73,142.54,30.18,43.6,6.46,842.5,grapes
50.37,28.62,41.16,32.44,69.65,5.68,2472.13,cashew
42.02,75.73,59.76,17.63,18.44,7.45,784.51,chickpea
62.42,28.22,61.54,22.19,52.77,7.3,970.87,sweet_lime
42.68,43.31,40.47,35.03,45.41,7.67,694.48,orange
36.27,64.41,77.14,20.74,40.65,8.12,739.48,chickpea
95.94,73.18,58.85,19.57,58.61,7.41,746.81,tomato
51.01,39.62,40.74,31.12,73.94,6.21,1139.85,soybean
41.93,45.57,47.61,22.77,43.55,6.37,494.92,chickpea
40.8,42.35,50.94,25.15,43.49,7.45,777.01,groundnut
48.7,37.76,18.84,30.71,50.01,6.83,893.16,soybean
156.36,60.64,40.2,33.89,69.29,7.21,1053.85,cotton
41.94,122.98,167.34,29.01,39.28,6.87,525.03,grapes
119.67,52.67,29.61,15.12,57.13,7.02,639.42,wheat
44.42,39.99,39.08,37.63,39.61,8.16,1138.43,orange
194.05,99.21,85.36,30.46,78.03,7.45,991.43,sugarcane
28.46,26.45,63.77,33.18,87.59,6.4,2449.97,coconut
124.3,64.97,20.45,32.77,64.15,6.88,729.4,cotton
93.39,64.2,37.54,36.8,48.27,7.95,985.61,cotton
49.05,45.48,54.78,32.95,58.41,7.68,802.78,pomegranate
80.33,40.52,60.33,20.55,62.58,7.7,466.23,onion
80.06,46.32,54.98,29.83,83.69,6.05,3607.91,rice
54.88,37.02,46.51,33.15,64.23,7.99,1030.62,orange
50.24,23.2,34.37,28.58,53.93,8.19,582.1,bajra
116.53,56.52,31.01,26.82,49.29,8.09,647.54,wheat
91.49,63.11,43.91,32.22,62.24,7.28,499.7,onion
64.43,39.89,30.18,31.79,54.93,8.48,478.88,bajra
140.18,60.76,96.35,35.27,81.68,6.49,1345.67,banana
81.43,44.37,33.37,33.92,40.86,8.49,660.79,bajra
43.07,24.4,90.58,34.39,89.32,5.54,3023.82,coconut
174.91,82.8,116.25,28.46,74.12,8.32,1942.04,sugarcane
56.31,34.14,34.84,25.13,64.85,6.5,1158.92,orange
55.04,20.3,67.14,25.22,67.33,6.29,1588.03,coconut
18.24,56.45,23.15,35.95,47.62,7.45,961.31,pigeonpeas
40.47,27.78,36.6,23.76,61.29,7.12,627.42,bajra
101.33,46.53,72.82,22.15,65.03,7.06,615.87,onion
123.34,50.49,36.66,22.62,61.58,6.54,531.25,wheat
40.97,72.62,28.43,36.19,42.27,6.41,850.14,pigeonpeas
46.5,61.42,64.45,20.84,34.87,6.33,676.43,chickpea
108.88,44.46,26.78,36.22,72.93,6.88,1096.86,cotton
43.38,67.41,54.44,26.45,59.61,6.01,791.47,groundnut
209.95,89.96,88.31,28.79,56.98,7.03,1880.14,sugarcane
25.28,47.21,42.69,28.34,56.0,6.67,668.25,groundnut
35.04,43.71,60.27,31.95,64.31,8.2,420.51,pomegranate
130.68,85.78,145.38,39.16,86.48,7.88,998.37,banana
93.91,38.23,30.65,32.8,63.59,7.54,759.62,cotton
80.16,60.87,49.88,23.96,90.64,6.29,1129.03,rice
41.64,72.1,32.27,22.18,67.51,6.99,463.94,groundnut
157.68,83.39,102.08,34.17,79.74,7.94,2036.95,sugarcane
76.09,53.06,46.52,21.76,67.55,6.95,416.67,wheat
54.55,47.91,49.77,30.99,38.95,6.78,457.93,sorghum
89.38,58.43,31.51,26.83,48.22,8.07,959.07,cotton
36.32,62.89,49.86,16.92,44.92,7.01,476.2,chickpea
36.05,42.13,124.68,23.15,79.36,6.25,3150.45,coconut
50.78,17.33,33.35,34.13,71.71,6.92,2570.79,mango
138.95,66.38,24.55,37.5,44.54,8.13,1177.49,cotton
47.38,19.13,40.23,29.69,82.82,5.94,2733.62,ragi
74.05,20.92,30.43,33.92,34.37,7.82,696.5,bajra
61.36,39.83,99.74,25.78,71.46,6.95,1700.16,coconut
117.75,59.69,57.8,23.96,63.18,6.84,665.21,maize
27.41,84.5,14.94,39.36,65.28,8.11,843.51,pigeonpeas
35.8,46.78,35.32,38.89,52.86,6.46,896.87,sweet_lime
60.73,39.86,48.01,23.95,69.96,7.22,956.83,orange
81.86,48.19,45.48,39.27,57.96,7.91,527.32,sorghum
126.77,68.45,40.38,20.06,71.14,6.78,871.6,maize
52.5,22.98,41.93,35.32,58.35,6.78,446.9,bajra
52.71,100.97,161.33,16.73,64.96,6.45,496.93,grapes
37.08,15.95,25.78,33.21,65.12,5.17,2673.01,cashew
86.48,48.51,81.25,29.2,55.78,6.6,950.6,tomato
39.76,33.53,28.82,28.08,89.31,6.49,1673.56,ragi
24.75,47.13,74.25,35.89,57.73,6.98,602.88,pomegranate
96.88,40.61,44.16,14.34,46.28,6.53,406.77,wheat
45.2,113.88,172.48,19.22,66.27,8.15,595.79,grapes
101.5,59.43,56.36,21.8,78.06,7.18,3573.0,rice
32.86,33.98,19.49,25.79,66.28,5.92,1991.7,ragi
128.75,57.13,53.51,25.87,71.03,5.78,746.94,maize
187.19,63.02,102.91,35.11,52.95,7.04,847.59,sugarcane
60.03,20.45,24.39,30.19,64.67,5.26,2233.04,ragi
23.93,69.69,56.1,25.77,23.11,6.93,527.36,chickpea
30.63,67.13,61.76,25.23,46.67,7.22,576.6,chickpea
49.48,29.18,62.52,39.23,64.91,8.05,1157.66,orange
47.49,105.24,163.81,24.82,60.45,7.63,680.37,grapes
37.19,19.3,24.28,24.95,83.96,5.53,3561.6,cashew
41.18,24.91,60.06,38.89,55.66,6.9,626.75,sweet_lime
109.09,44.48,35.46,32.39,93.87,5.85,1307.33,rice
102.29,63.87,60.82,24.53,43.47,7.54,524.44,onion
113.45,48.61,38.5,18.19,35.89,7.51,385.82,wheat
80.25,49.82,39.84,22.28,65.97,7.43,581.45,wheat
85.05,46.1,56.23,27.78,43.54,7.41,656.86,onion
57.16,40.56,65.75,38.96,39.36,7.81,664.56,pomegranate
54.31,34.31,62.07,34.56,82.84,5.44,1625.36,coconut
185.35,88.15,79.31,33.74,85.63,7.07,2341.78,sugarcane
121.46,61.99,109.5,29.0,54.43,6.12,680.93,tomato
33.74,36.29,40.81,31.53,83.86,6.22,3677.41,mango
109.2,59.17,60.8,19.65,54.36,7.21,674.53,onion
26.58,26.82,37.18,29.34,89.95,5.57,3595.41,mango
148.17,37.78,35.49,28.55,61.68,7.15,1041.64,cotton
99.05,36.01,57.57,22.25,92.26,5.39,1907.99,rice
36.68,44.76,57.07,22.67,51.51,7.08,462.6,pomegranate
108.64,40.37,39.41,32.72,92.77,7.13,2281.02,rice
33.18,34.19,36.69,36.42,44.46,6.39,738.97,orange
22.59,69.63,45.04,31.78,50.85,7.29,1073.21,soybean
166.37,67.33,110.47,22.72,64.62,6.45,1280.53,sugarcane
57.12,32.96,43.81,25.81,41.39,7.04,914.86,sweet_lime
56.01,24.73,52.51,32.28,54.03,7.56,599.92,sweet_lime
59.92,68.19,58.33,17.82,56.43,6.89,658.65,onion
104.09,52.2,40.74,31.87,91.79,7.28,2494.76,rice
163.03,75.51,175.78,37.71,64.69,7.59,1014.07,banana
79.04,54.63,60.26,21.86,69.71,6.62,850.38,onion
163.65,82.95,82.12,38.61,76.95,7.0,1885.23,sugarcane
142.77,66.47,19.98,34.96,56.04,7.31,725.57,cotton
34.49,76.71,180.01,25.94,57.14,8.08,671.66,grapes
83.24,44.76,57.8,32.27,78.35,5.8,1998.89,rice
27.82,20.71,57.21,27.56,65.31,5.42,3354.11,mango
109.32,58.3,55.0,32.16,93.47,6.69,3341.85,rice
143.1,64.93,98.84,17.74,56.05,6.41,948.14,tomato
46.36,83.45,134.07,34.04,58.67,6.91,766.46,grapes
70.29,45.31,42.37,39.4,34.47,7.96,414.42,bajra
42.45,36.19,21.61,33.76,39.67,7.21,505.62,bajra
33.89,88.76,131.81,31.2,62.38,7.9,504.9,grapes
99.45,62.91,41.39,32.39,84.48,5.82,2460.65,rice
47.01,35.95,19.4,26.3,84.78,6.43,1566.04,ragi
28.48,68.54,30.65,33.19,50.78,7.04,461.6,groundnut
57.03,40.42,29.35,20.32,69.57,5.49,1836.4,ragi
45.0,29.9,34.82,26.09,90.83,6.78,2625.7,ragi
33.81,24.1,34.59,33.27,69.52,8.03,945.67,orange
118.86,55.84,18.72,26.67,63.37,7.56,1223.97,cotton
115.5,56.9,50.58,15.1,37.55,7.63,637.35,wheat
34.43,53.36,31.33,30.96,62.84,7.77,570.9,pigeonpeas
31.96,108.31,133.64,26.38,52.89,6.77,784.64,grapes
77.26,44.17,40.35,30.26,72.91,5.82,2982.61,rice
166.08,58.42,102.31,37.78,74.96,7.78,1016.47,sugarcane
22.29,29.83,21.92,35.37,78.93,5.22,3762.25,cashew
197.1,93.05,124.97,24.94,69.05,7.38,1373.3,banana
151.37,54.3,166.13,38.77,65.26,6.68,1480.88,banana
24.43,15.13,37.13,24.63,77.07,5.4,1698.64,cashew
57.35,30.63,56.63,21.47,43.85,7.52,700.85,pomegranate
105.77,39.59,39.69,20.71,51.1,7.48,743.11,wheat
60.05,42.87,35.26,23.98,42.37,7.28,1068.62,orange
28.96,40.13,23.48,30.38,75.3,5.84,2160.64,ragi
46.02,46.31,57.79,24.67,44.02,7.94,744.65,orange
24.85,40.38,41.12,31.13,49.86,7.19,841.38,orange
78.32,51.79,53.33,22.82,90.05,7.04,2021.12,rice
74.15,32.96,42.04,23.76,50.87,6.9,587.23,sorghum
73.17,60.35,70.11,22.38,53.2,5.97,613.09,onion
101.36,59.47,39.93,32.98,67.88,7.16,1020.57,cotton
87.12,40.32,41.19,34.47,48.5,8.44,424.99,sorghum
40.35,119.82,180.23,22.47,47.12,7.64,688.93,grapes
23.92,30.31,76.14,26.34,62.79,8.12,653.94,pomegranate
32.0,33.7,38.76,24.03,39.52,7.61,495.89,pomegranate
23.97,20.33,47.28,37.7,46.75,6.72,719.15,orange
25.38,42.5,55.08,23.93,18.93,6.77,737.06,chickpea
32.87,25.58,34.5,30.59,60.78,5.14,2789.07,cashew
95.28,67.43,37.75,20.68,57.41,7.64,598.09,wheat
114.27,55.91,34.99,34.44,76.72,5.92,1745.57,rice
52.28,37.39,57.51,37.0,54.73,7.72,748.45,sweet_lime
105.72,39.85,57.1,23.25,89.85,6.37,1907.13,rice
106.37,61.38,29.3,18.99,64.11,6.11,916.59,maize
110.31,63.05,68.36,30.02,51.24,6.4,740.6,onion
33.23,74.48,28.78,28.35,72.67,7.15,648.18,soybean
45.07,24.39,31.12,30.61,70.71,7.0,1045.52,orange
61.76,35.12,66.52,26.33,85.07,7.31,2063.83,coconut
130.31,80.28,113.74,26.49,51.98,6.16,876.7,tomato
36.32,76.53,29.0,26.95,53.09,6.12,1097.66,soybean
21.51,78.62,22.31,24.17,42.27,6.24,984.63,pigeonpeas
190.18,94.7,180.09,23.34,83.12,7.08,1132.49,banana
34.26,116.76,114.54,16.88,50.6,7.99,781.04,grapes
221.22,87.66,110.85,28.77,60.14,6.79,1887.16,sugarcane
28.92,46.91,54.83,28.83,50.34,8.12,1093.01,orange
52.94,25.7,120.53,32.59,77.39,6.26,3411.37,coconut
150.08,63.9,34.25,27.1,41.47,7.57,1065.84,cotton
98.67,61.34,96.48,21.59,57.4,5.89,671.73,tomato
55.76,35.83,125.78,32.33,82.38,7.23,3116.79,coconut
63.35,37.42,25.19,29.88,36.53,7.09,666.09,bajra
113.47,38.22,52.37,28.56,81.9,5.57,1563.22,rice
133.07,33.37,30.33,35.68,71.45,7.83,1011.81,cotton
33.73,30.44,39.36,38.33,38.71,6.52,817.42,sweet_lime
26.34,74.04,32.08,33.66,49.69,6.87,720.73,groundnut
115.05,84.26,110.98,32.51,65.2,6.04,514.37,tomato
30.72,66.98,44.13,24.07,58.06,7.59,474.99,groundnut
88.37,82.69,81.19,17.6,56.69,6.76,618.76,tomato
42.57,19.98,25.17,24.66,86.74,6.84,2442.86,ragi
150.07,73.14,32.34,35.89,61.65,8.69,634.74,cotton
32.66,87.67,119.23,22.13,47.53,7.44,665.93,grapes
82.12,25.53,28.38,36.2,57.75,7.31,611.23,bajra
101.05,40.79,52.2,23.89,52.23,7.3,801.71,wheat
250.46,94.96,77.85,37.18,64.8,6.99,942.82,sugarcane
100.24,40.08,48.92,25.69,37.6,7.5,584.01,sorghum
35.75,21.22,51.59,31.18,68.96,6.53,946.38,orange
55.17,37.91,94.2,33.64,92.41,5.52,1854.9,coconut
52.22,18.99,25.53,25.78,68.68,5.28,1846.23,cashew
26.07,74.35,43.18,33.69,60.97,6.14,1073.33,soybean
70.78,36.1,40.75,34.19,83.31,6.73,1808.35,rice
44.0,43.42,46.41,29.09,60.87,6.38,798.06,orange
52.46,49.72,30.3,21.93,71.46,6.4,1182.3,soybean
46.17,18.72,40.2,30.87,64.0,5.88,3497.27,mango
39.1,24.91,32.29,24.69,45.04,7.84,481.04,bajra
60.07,19.31,43.65,26.73,60.75,6.84,732.96,orange
106.38,40.3,39.82,33.81,87.27,6.36,1927.75,rice
66.85,43.31,71.82,22.37,67.32,6.15,816.88,onion
85.88,50.74,102.12,30.55,59.02,6.18,628.13,tomato
102.06,60.47,64.63,24.57,50.81,7.69,874.93,onion
262.77,70.35,82.46,35.94,67.66,7.89,1841.79,sugarcane
125.29,58.38,180.11,24.06,84.5,6.28,1386.05,banana
87.23,52.02,36.89,29.06,56.03,7.35,763.18,maize
62.8,40.2,34.28,29.84,84.62,6.65,2175.47,ragi
47.87,32.12,61.51,32.53,70.44,5.9,3154.81,coconut
57.95,24.72,59.03,34.87,68.96,7.21,620.05,sweet_lime
78.98,55.09,63.67,31.3,63.76,6.93,548.28,onion
48.79,30.55,30.35,21.68,87.77,6.35,1919.53,ragi
44.27,19.92,23.78,27.08,35.42,7.42,346.65,bajra
62.89,27.3,118.7,25.19,71.12,6.0,1600.21,coconut
35.72,68.21,70.8,24.75,37.16,7.31,743.15,chickpea
87.63,41.91,28.94,14.19,49.3,7.36,491.4,wheat
116.65,49.88,39.43,23.2,60.89,6.65,728.49,maize
41.72,47.52,57.49,32.89,45.86,7.56,1015.82,sweet_lime
80.3,72.13,25.9,34.51,60.55,7.97,640.1,cotton
27.68,17.0,44.41,26.25,90.68,5.54,3603.8,mango
23.46,63.54,51.14,19.98,27.7,7.96,615.21,chickpea
40.48,24.1,38.59,22.46,65.16,6.46,1420.45,ragi
32.15,26.05,37.9,21.99,82.81,6.74,3716.21,mango
89.59,53.62,50.51,21.36,93.7,6.94,2957.36,rice
96.08,52.04,83.68,25.28,59.94,5.97,536.9,tomato
34.5,35.67,77.54,33.86,76.76,6.9,3503.06,coconut
27.55,17.56,30.95,24.72,62.57,6.98,2607.92,mango
93.57,34.82,28.33,32.43,55.78,8.61,736.05,sorghum
71.2,60.38,68.86,28.03,71.35,6.42,557.49,onion
28.85,63.82,78.2,20.36,36.33,7.87,654.29,chickpea
35.98,41.85,35.19,33.51,59.53,7.48,513.28,groundnut
26.13,70.34,75.33,25.69,19.39,8.24,688.49,chickpea
52.13,29.05,57.65,23.87,60.45,8.49,779.02,pomegranate
37.97,53.8,26.3,33.08,57.76,6.37,628.26,soybean
63.11,21.8,30.29,27.35,61.36,7.6,579.53,bajra
86.33,36.32,36.53,31.23,34.48,6.94,588.66,sorghum
80.05,43.53,38.43,14.95,49.45,6.94,513.62,wheat
48.8,36.04,72.73,27.95,52.41,7.88,733.39,pomegranate
61.84,28.4,121.52,28.66,71.31,5.63,1570.34,coconut
42.41,100.85,135.72,14.91,48.08,7.04,719.9,grapes
42.83,40.12,69.85,33.35,68.13,6.96,2896.74,coconut
31.52,71.37,62.9,17.06,42.31,8.03,542.26,chickpea
39.09,72.55,45.37,29.9,59.68,6.86,1181.17,soybean
25.24,41.93,40.22,35.28,49.42,6.43,553.94,groundnut
32.76,23.47,40.8,28.46,82.83,5.99,3671.44,mango
28.92,67.01,49.73,23.63,43.95,6.32,420.45,chickpea
131.48,65.39,154.91,24.46,61.09,7.07,815.19,banana
56.99,39.79,42.96,29.54,59.15,7.57,1170.89,orange
20.69,17.96,41.87,30.34,82.93,5.75,1983.46,mango
23.16,118.36,153.94,19.36,69.65,7.16,778.91,grapes
30.45,21.12,60.44,24.67,48.97,8.53,735.2,pomegranate
52.01,44.03,54.69,25.76,41.42,7.49,798.6,sweet_lime
31.5,32.58,55.41,25.54,67.54,6.65,1005.39,sweet_lime
39.65,110.08,185.11,36.01,55.06,6.53,675.64,grapes
47.5,74.76,49.09,16.25,24.71,7.83,472.89,chickpea
40.49,29.84,77.04,21.7,32.5,8.37,696.46,pomegranate
19.15,56.78,45.76,30.11,64.9,6.02,1058.09,soybean
134.86,76.54,133.61,31.16,85.68,7.29,1547.55,banana
112.92,63.02,46.19,18.05,65.68,7.36,738.39,wheat
27.61,122.42,135.58,16.05,52.09,6.95,759.52,grapes
37.1,125.08,178.95,26.63,51.37,7.65,768.06,grapes
55.07,26.97,19.29,29.72,77.43,6.11,2058.23,ragi
75.86,46.12,41.26,38.38,43.25,7.78,623.66,bajra
83.71,42.28,37.28,24.3,49.27,7.84,329.18,bajra
28.78,19.74,101.7,31.01,75.28,6.23,1870.62,coconut
129.13,63.17,54.68,28.2,72.32,6.78,583.49,maize
27.59,62.52,27.92,37.63,49.73,7.44,740.07,pigeonpeas
127.54,48.48,122.76,31.64,83.28,7.05,965.55,banana
258.19,70.58,101.86,29.98,76.68,6.72,1187.09,sugarcane
61.67,34.68,46.26,27.57,53.33,6.99,835.63,sorghum
63.99,39.54,29.32,30.83,29.57,7.16,452.24,bajra
92.38,64.66,37.42,16.04,34.24,7.63,807.44,wheat
87.63,61.96,20.45,38.11,56.67,8.1,815.84,cotton
77.65,51.18,41.67,31.83,34.41,7.46,482.7,sorghum
88.88,47.31,30.43,24.59,58.71,6.11,716.69,maize
64.55,56.79,61.94,32.13,57.65,6.01,744.36,onion
140.81,60.47,21.77,39.08,61.73,8.17,969.97,cotton
25.54,45.42,47.76,22.65,45.53,6.31,782.59,chickpea
134.58,57.51,97.84,23.0,72.65,6.28,788.65,tomato
28.16,43.86,64.95,18.82,35.13,6.94,715.57,chickpea
41.81,20.66,32.5,29.46,76.53,6.03,2305.71,cashew
35.73,63.63,60.16,17.36,17.56,8.37,423.93,chickpea
142.19,79.42,158.46,24.81,76.36,7.84,986.98,banana
49.76,40.34,44.71,24.2,72.7,7.62,1036.26,orange
57.57,28.03,35.99,27.04,62.54,7.41,806.78,sweet_lime
234.0,68.83,127.29,39.26,67.02,7.86,1659.46,sugarcane
44.27,34.27,20.73,30.38,37.93,7.12,652.64,bajra
24.05,44.23,63.22,31.22,44.39,7.83,723.09,orange
44.61,65.24,50.01,31.85,48.86,6.15,798.75,groundnut
69.36,60.06,71.73,21.31,61.69,6.52,621.93,onion
122.92,56.07,51.98,15.94,55.37,7.35,719.77,wheat
97.01,31.97,28.5,24.34,53.25,6.72,747.99,sorghum
49.19,29.57,59.29,30.66,90.41,6.41,1388.42,coconut
44.88,42.03,23.07,25.87,80.17,5.63,2870.71,ragi
35.74,79.56,24.33,29.81,65.75,6.95,597.1,pigeonpeas
23.2,25.55,51.68,33.98,63.48,5.45,3439.12,mango
145.92,90.66,143.15,35.2,81.28,6.31,1356.01,banana
28.48,40.42,51.27,27.24,58.36,7.69,948.08,orange
35.96,44.7,66.66,25.54,46.55,8.01,534.61,chickpea
18.28,65.38,26.39,28.42,68.25,7.92,1089.35,pigeonpeas
63.07,43.94,49.63,20.67,46.15,6.2,514.89,onion
194.58,74.28,76.76,36.96,71.74,6.4,1178.36,sugarcane
134.77,58.73,116.31,20.16,52.6,5.96,986.54,tomato
44.27,80.67,22.77,23.97,71.94,7.86,1050.28,pigeonpeas
46.31,14.9,39.62,27.61,63.44,6.77,1960.32,mango
83.09,53.74,28.81,31.88,55.38,5.71,800.04,maize
129.59,69.87,75.92,20.29,62.62,6.41,794.28,tomato
56.08,23.13,41.4,21.37,89.43,5.95,2222.7,ragi
51.72,16.65,42.82,27.22,68.07,6.45,1941.48,mango
18.92,75.17,17.48,35.21,58.33,6.22,582.43,pigeonpeas
34.51,48.47,35.51,27.14,56.13,6.89,988.41,soybean
70.87,48.82,46.17,31.06,50.35,7.39,812.38,onion
121.59,45.19,49.65,31.61,47.17,7.17,509.31,maize
33.56,84.7,152.97,31.81,54.78,7.23,673.06,grapes
67.65,46.28,34.31,28.32,39.18,7.77,646.31,sweet_lime
121.74,42.89,37.21,24.01,33.84,8.13,687.05,wheat
106.72,64.76,64.22,21.18,46.83,7.47,663.95,onion
98.13,66.12,37.76,19.83,59.03,7.18,795.78,wheat
23.04,105.46,170.58,26.09,41.6,7.14,750.22,grapes
140.14,52.26,28.07,29.66,54.89,7.31,869.28,cotton
24.74,78.09,38.28,28.0,60.75,6.71,1090.62,soybean
58.66,22.12,61.0,29.81,50.0,7.88,1003.95,orange
30.98,36.22,29.02,24.66,76.99,5.75,1528.37,ragi
33.01,80.84,173.33,15.66,58.07,7.72,585.55,grapes
21.96,14.6,29.04,29.38,70.56,5.49,3413.85,mango
39.91,26.78,37.48,26.63,84.44,5.75,2120.25,ragi
35.48,51.07,44.59,23.39,66.29,6.59,948.6,soybean
